Date,All_sum_tot_postpan,All_sum_tot_prepan,Subways_sum_tot_postpan,Subways_sum_tot_prepan,Buses_sum_tot_postpan,Buses_sum_tot_prepan,LIRR_sum_tot_postpan,LIRR_sum_tot_prepan,Metro_North_sum_tot_postpan,Metro_North_sum_tot_prepan,Access_A_Ride_sum_tot_postpan,Access_A_Ride_sum_tot_prepan,Bridges_and_Tunnels_sum_tot_postpan,Bridges_and_Tunnels_sum_tot_prepan,Staten_Island_Railway_sum_tot_postpan,Staten_Island_Railway_sum_tot_prepan,All_perc_postpan_as_prepan,Subways_perc_postpan_as_prepan,Buses_perc_postpan_as_prepan,LIRR_perc_postpan_as_prepan,Metro_North_perc_postpan_as_prepan,Access_A_Ride_perc_postpan_as_prepan,Bridges_and_Tunnels_perc_postpan_as_prepan,Staten_Island_Railway_perc_postpan_as_prepan,All_pred,Subways_pred,Buses_pred,LIRR_pred,Metro_North_pred,Access_A_Ride_pred,Bridges_and_Tunnels_pred,Staten_Island_Railway_pred
2023-04-02,7994484,10199578.949349312,4249173,5591017.105263159,1536986,2328766.666666667,206770,206079.98032464337,184893,251325.283222442,35282,35411.70406306852,1777071,1778639.2628205128,4309,8338.946988820771,78.0,76.0,66.0,100.0,74.0,100.0,100.0,52.0,7603637.361700727,4005958.232219079,1447819.3381696723,193045.24064210564,177905.92414850407,33290.59630899886,1741780.732110551,3837.298101815998
2023-04-09,8052390,10183263.116099454,4230217,5575709.142857143,1618512,2326325.986505827,180111,205975.05224660397,188928,250872.39242685027,33639,35343.17931793179,1797931,1780638.3921568627,3052,8398.970588235294,79.0,76.0,70.0,87.0,75.0,95.0,101.0,36.0,7614961.602680006,4013538.250119855,1448350.8917329162,193898.30741835386,178586.98428189853,33447.33619140944,1743283.7848408697,3856.048094703735
2023-04-16,8222683,10207889.553087695,4429383,5606813.924050633,1566682,2323544.951712028,193927,205573.62231182796,185035,251942.14377172122,32812,35459.196272568435,1811803,1776277.4509803923,3041,8278.263988522238,81.0,79.0,67.0,94.0,73.0,93.0,102.0,37.0,7626285.843659285,4021118.2680206313,1448882.44529616,194751.37419460205,179268.04441529297,33604.076073820026,1744786.8375711886,3874.798087591472
2023-04-23,7173374,10182877.157063428,3924076,5581746.739130435,1293683,2321881.0344827585,160232,205098.68292682926,142343,251798.99267399264,31139,35305.02435273006,1618675,1778763.7362637362,3226,8282.947232947234,70.0,70.0,56.0,78.0,57.0,88.0,91.0,39.0,7637610.084638566,4028698.2859214074,1449413.998859404,195604.44097085024,179949.1045486874,33760.81595623061,1746289.8903015074,3893.5480804792087
2023-04-30,8547024,10279120.119889133,4596892,5596571.617647059,1640049,2361297.5465140054,203601,216596.8085106383,186325,253494.98188405798,36171,34283.7106918239,1878697,1808486.9959304477,5289,8388.45871110022,83.0,82.0,69.0,94.0,74.0,106.0,104.0,63.0,7648934.325617845,4036278.303822183,1449945.5524226476,196457.50774709845,180630.16468208184,33917.55583864119,1747792.943031826,3912.2980733669456
2023-05-07,8481538,10286206.011298407,4414144,5609071.669071669,1608863,2350473.484848485,215988,215864.46428571426,211028,254817.17271571816,38562,34295.1641033772,1989326,1813352.712215321,3627,8331.34405812143,82.0,79.0,68.0,100.0,83.0,112.0,110.0,44.0,7660258.566597125,4043858.321722959,1450477.1059858915,197310.57452334667,181311.2248154763,34074.29572105177,1749295.995762145,3931.0480662546825
2023-05-14,8216213,10271490.836973764,4447396,5611141.323345818,1488680,2341024.6411483255,206441,215967.79440468445,186960,255575.48701298703,34115,34294.39724919094,1848732,1805193.2248548863,3889,8293.968957871397,80.0,79.0,64.0,96.0,73.0,99.0,102.0,47.0,7671582.807576404,4051438.3396237353,1451008.6595491352,198163.64129959486,181992.28494887074,34231.035603462355,1750799.0484924638,3949.7980591424193
2023-05-21,8273954,10279993.23607736,4404829,5597623.163751988,1556229,2360459.7574668764,219424,215970.9664998075,222020,254104.5663265306,34258,34264.958462616356,1831855,1809198.8815405564,5339,8370.942028985508,80.0,79.0,66.0,102.0,87.0,100.0,101.0,64.0,7682907.048555683,4059018.3575245114,1451540.2131123792,199016.70807584305,182673.3450822652,34387.77548587294,1752302.1012227824,3968.548052030156
2023-05-28,8353484,10762438.061552932,4400034,5831829.01754386,1613430,2487167.234848485,218843,221319.09827760892,191527,267653.2383665717,36547,35322.88515406163,1889693,1910111.3095845669,3410,9035.27777777778,78.0,75.0,65.0,99.0,72.0,103.0,99.0,38.0,7694231.289534964,4066598.3754252875,1452071.766675623,199869.77485209127,183354.40521565964,34544.51536828352,1753805.1539531013,3987.298044917893
2023-06-04,8742112,10766246.009537898,4684407,5848092.748867011,1588136,2481462.5,246275,221416.40821628642,215731,267957.2072072072,35954,35443.24009324009,1968049,1902943.5736969924,3560,8930.331457160724,81.0,80.0,64.0,111.0,81.0,101.0,103.0,40.0,7705555.530514243,4074178.3933260636,1452603.3202388668,200722.84162833946,184035.46534905408,34701.25525069411,1755308.20668342,4006.04803780563
2023-06-11,8436803,10779800.183342159,4377103,5844677.524893315,1580068,2495820.719602978,258650,221060.03191643697,207057,267861.52597402595,37351,35391.84938892883,1971913,1906025.0700280112,4661,8963.461538461537,78.0,75.0,63.0,117.0,77.0,106.0,103.0,52.0,7716879.771493522,4081758.4112268393,1453134.8738021106,201575.90840458765,184716.52548244852,34857.99513310469,1756811.259413739,4024.798030693367
2023-06-18,8637321,10756847.9120324,4690698,5820132.895339955,1533694,2501472.5396825396,251602,221970.63846153847,222455,267168.1995540691,34040,35285.81095596133,1900033,1901839.9659693723,4799,8977.862068965518,80.0,81.0,61.0,113.0,83.0,96.0,100.0,53.0,7728204.012472802,4089338.4291276154,1453666.4273653545,202428.97518083587,185397.58561584298,35014.73501551527,1758314.3121440576,4043.5480235811037
2023-06-25,7766201,9970252.586343579,4023286,5181895.519653564,1527592,2438217.2899590163,213050,232193.99952187424,174012,261927.45535714287,33810,32378.3370003667,1789718,1815006.6515182815,4733,8633.333333333334,78.0,78.0,63.0,92.0,66.0,104.0,99.0,55.0,7739528.253452082,4096918.4470283915,1454197.9809285982,203282.0419570841,186078.64574923742,35171.47489792586,1759817.3648743764,4062.2980164688406
2023-07-02,7870089,9954882.111954786,4085401,5153243.228498075,1519000,2459766.022245763,216174,231958.42683632154,191637,260131.57323688967,34574,32351.82686410234,1818694,1808801.6841688133,4609,8629.350104821802,79.0,79.0,62.0,93.0,74.0,107.0,101.0,53.0,7750852.494431362,4104498.4649291676,1454729.5344918421,204135.10873333225,186759.70588263188,35328.214780336435,1761320.4176046953,4081.0480093565775
2023-07-09,7631864,9989828.636285875,3925912,5189383.572453372,1473354,2449260.9205260146,213770,232217.84943658594,179530,261731.58567774936,34539,32323.192982456138,1800791,1816242.8014766201,3968,8668.713733075436,76.0,76.0,60.0,92.0,69.0,107.0,99.0,46.0,7762176.735410641,4112078.4828299433,1455261.0880550859,204988.17550958047,187440.76601602632,35484.95466274702,1762823.470335014,4099.798002244314
2023-07-16,8534688,9955490.539192911,4444493,5162284.124408385,1618264,2451915.1515151514,249813,233141.44144144145,187944,261795.4119850187,36304,32431.288392500996,1994242,1805285.0262123197,3628,8638.095238095239,86.0,86.0,66.0,107.0,72.0,112.0,110.0,42.0,7773500.97638992,4119658.5007307194,1455792.6416183298,205841.2422858287,188121.82614942075,35641.6945451576,1764326.5230653328,4118.547995132051
2023-07-23,8180489,9966983.057199597,4203957,5166733.91566265,1562200,2462190.5009920634,237241,233356.5554916619,192369,260215.04862953137,34197,32411.787960467205,1946134,1803351.9917582418,4391,8723.256704980842,82.0,81.0,63.0,102.0,74.0,106.0,108.0,50.0,7784825.217369201,4127238.5186314955,1456324.1951815735,206694.30906207688,188802.8862828152,35798.43442756819,1765829.5757956516,4137.297988019788
2023-07-30,8279273,10233796.76548821,4275205,5344006.25,1594553,2474298.4375,229995,237527.3955255382,210670,255227.1167048055,37640,34577.66540244417,1926201,1879811.5670220868,5009,8348.333333333332,81.0,80.0,64.0,97.0,83.0,109.0,102.0,60.0,7796149.45834848,4134818.5365322717,1456855.7487448175,207547.37583832507,189483.94641620966,35955.17430997877,1767332.6285259705,4156.047980907525
2023-08-06,8280533,10218481.581737615,4320345,5304347.064137308,1535290,2498610.2326811207,244518,236522.4909646928,202999,255906.94444444444,36461,34459.64677548836,1935889,1880310.2027345588,5031,8325.0,81.0,81.0,61.0,103.0,79.0,106.0,103.0,60.0,7807473.699327759,4142398.554433048,1457387.3023080612,208400.4426145733,190165.0065496041,36111.914192389355,1768835.6812562891,4174.797973795262
2023-08-13,8224198,10223494.819330713,4229587,5316582.246835443,1546643,2494585.4838709673,245427,237889.27071401296,218401,254965.19699812384,37250,34595.379310344826,1942160,1876641.4581777444,4730,8235.783424077435,80.0,80.0,62.0,103.0,86.0,108.0,103.0,57.0,7818797.940307039,4149978.572333824,1457918.855871305,209253.50939082148,190846.06668299856,36268.65407479994,1770338.733986608,4193.547966682999
2023-08-20,8094263,10202144.536668938,4191691,5312751.08974359,1547412,2482720.6967213117,229843,237418.5943436049,186072,255276.56078860897,36046,34710.88888888889,1898411,1870929.8640776698,4788,8336.842105263158,79.0,79.0,62.0,97.0,73.0,104.0,101.0,57.0,7830122.181286318,4157558.5902345995,1458450.4094345488,210106.57616706967,191527.126816393,36425.393957210516,1771841.7867169268,4212.297959570736
2023-08-27,8228393,10619331.815607756,4320922,5753486.216596344,1534670,2502856.428571428,252117,217163.98317591497,197959,258684.5514950166,38134,34354.1910331384,1879773,1845759.04890258,4818,7027.395833333334,77.0,75.0,61.0,116.0,77.0,111.0,102.0,69.0,7841446.422265599,4165138.6081353757,1458981.9629977928,210959.6429433179,192208.18694978743,36582.1338396211,1773344.8394472455,4231.0479524584725
